,__v,_id,countEarly,countLate,countOnTime,countStopsHit,countTspRequests,deviceID,direction,duration,earlyLimit,endReason,endStatus,endTime,headsign,headway,lateLimit,logID,routeName,routePriority,startTime,stops,syncedToCMS,totalDwell,totalTravel,tripID,tripType,tspMode,tzOffset,uploadDate,utcOffset,valid,vehicleName,verASMApp,verASMServer,uid
48,0,{'oid': '608ce555149a7078030fad9e'},49,0,1,50,1,4010KN2001,outbound,3421.651,1,,completed,2021-05-01 01:44:16.833000+00:00,Ocean Beach,10,4,20210430-t1,7,0,2021-05-01 00:47:15.182000+00:00,52,False,742,2648,9743411,schedule,alwaysOn,-0700,2021-05-01 05:21:25.765,-420,True,NF6507,1.8.2,1.8.2,4010KN2001_20210430-t1
432,0,{'oid': '608d8a82544dc9b4010921b6'},0,1,0,1,1,4010KO2051,outbound,659.73,1,,completed,2021-05-01 15:06:44.148000+00:00,City College,10,4,20210501-t3,49,0,2021-05-01 14:55:44.418000+00:00,44,False,1,56,9787665,schedule,alwaysOn,-0700,2021-05-01 17:06:10.924,-420,True,NF6681,1.8.2,1.8.2,4010KO2051_20210501-t3
555,0,{'oid': '608e401f8af0c9bc0129ff71'},7,0,8,15,5,4010KZ2006,inbound,786.677,1,,completed,2021-05-01 21:20:03.137000+00:00,6th Ave & Fulton St.,10,4,20210501-t11,5,0,2021-05-01 21:06:56.460000+00:00,17,False,81,697,9739589,schedule,alwaysOn,-0700,2021-05-02 06:01:03.417,-420,True,NF5870,1.8.2,1.8.2,4010KZ2006_20210501-t11
645,0,{'oid': '608ce5658af0c9bc01ffef34'},39,0,10,49,1,4010KN2001,inbound,3501.138,1,,completed,2021-05-01 02:57:39.420000+00:00,SF Transit Center,10,4,20210430-t2,7,0,2021-05-01 01:59:18.282000+00:00,50,False,453,3009,9743505,schedule,alwaysOn,-0700,2021-05-01 05:21:41.903,-420,True,NF6507,1.8.2,1.8.2,4010KN2001_20210430-t2
729,0,{'oid': '608ee11a967165d8036fc2ec'},31,0,18,49,1,4010KN2034,inbound,3797.977,1,,completed,2021-05-01 02:02:07.597000+00:00,SF Transit Center,10,4,20210430-t4,7,0,2021-05-01 00:58:49.620000+00:00,50,False,571,3192,9743510,schedule,alwaysOn,-0700,2021-05-02 17:27:54.916,-420,True,NF6519,1.8.2,1.8.2,4010KN2034_20210430-t4
781,0,{'oid': '608ee13a8af0c9bc013475bb'},41,0,2,43,1,4010KN2034,outbound,4426.569,1,exceeded travel time to stop 47,aborted,2021-05-01 05:56:09.725000+00:00,Ocean Beach,10,4,20210430-t7,7,0,2021-05-01 04:42:23.156000+00:00,52,False,319,2221,9743394,schedule,alwaysOn,-0700,2021-05-02 17:28:26.567,-420,True,NF6519,1.8.2,1.8.2,4010KN2034_20210430-t7
1242,0,{'oid': '608cd44b8af0c9bc01fc573a'},25,0,22,47,1,4010KJ1113,inbound,3774.873,1,,completed,2021-05-01 02:29:45.133000+00:00,Townsend and 5th St,10,4,20210430-t10,NBUS,0,2021-05-01 01:26:50.260000+00:00,48,False,833,2899,9823682,schedule,alwaysOn,-0700,2021-05-01 04:08:43.483,-420,True,NF6598,1.8.2,1.8.2,4010KJ1113_20210430-t10
1599,0,{'oid': '608dcb76544dc9b401138246'},14,0,1,15,4,4010KP2021,inbound,597.41,1,,completed,2021-05-01 21:30:44.821000+00:00,6th Ave & Fulton St.,10,4,20210501-t8,5,0,2021-05-01 21:20:47.411000+00:00,17,False,9,581,9739588,schedule,alwaysOn,-0700,2021-05-01 21:43:18.072,-420,True,NF5778,1.8.2,1.8.2,4010KP2021_20210501-t8
1613,0,{'oid': '608ce5748af0c9bc01fffaf4'},22,0,29,51,1,4010KN2001,outbound,3079.026,1,,completed,2021-05-01 04:08:23.163000+00:00,Ocean Beach,10,4,20210430-t3,7,0,2021-05-01 03:17:04.137000+00:00,52,False,680,2362,9743399,schedule,alwaysOn,-0700,2021-05-01 05:21:56.368,-420,True,NF6507,1.8.2,1.8.2,4010KN2001_20210430-t3
1666,0,{'oid': '608f5aaa0280738004da58c8'},0,0,24,24,1,4010KK2071,outbound,832.36,1,,completed,2021-05-01 00:18:08.672000+00:00,Alemany Blvd,10,4,20210430-t22,67,0,2021-05-01 00:04:16.312000+00:00,25,False,145,677,9797170,schedule,alwaysOn,-0700,2021-05-03 02:06:34.242,-420,True,NF8713,1.8.2,1.8.2,4010KK2071_20210430-t22
1915,0,{'oid': '608dc4270280738004ab2d24'},0,0,24,24,1,4010KL2011,outbound,763.165,1,,completed,2021-05-01 14:36:51.715000+00:00,Alemany Blvd,10,4,20210501-t3,67,0,2021-05-01 14:24:08.550000+00:00,25,False,105,647,9797251,schedule,alwaysOn,-0700,2021-05-01 21:12:07.815,-420,True,OR8526,1.8.2,1.8.2,4010KL2011_20210501-t3
